ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,zfin_id_symbol,hgnc_symbol,description,entrezgene
ENSDARG00000009612,234.35976727592123,-1.2920626435827312,0.19219904433983684,-6.722523767070194,1.7860359332468304e-11,8.752290487282767e-8,chia.3,,"chitinase, acidic.3 [Source:ZFIN;Acc:ZDB-GENE-040426-2891]",406819
ENSDARG00000012506,187.52129524353018,-1.052785301609444,0.13885629511245073,-7.5818334397937175,3.407055000067066e-14,4.1739830805821625e-10,rnpep,,arginyl aminopeptidase (aminopeptidase B) [Source:ZFIN;Acc:ZDB-GENE-040718-241],437014
ENSDARG00000018411,383.78699963673637,0.8982518674800956,0.13606965540714475,6.601412084070951,4.072597582426489e-11,1.4255255137801977e-7,mknk1,,MAP kinase interacting serine/threonine kinase 1 [Source:ZFIN;Acc:ZDB-GENE-080220-11],555974
ENSDARG00000044862,34.72193147946911,-2.978623785947178,0.3274815200072471,-9.095547699550378,9.411092370314065e-20,2.305905852574352e-15,opn1lw1,,"opsin 1 (cone pigments), long-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-41]",30413
ENSDARG00000044925,352.55077763692026,0.6540835687647842,0.14179490414459386,4.612884875593197,3.971182809954703e-6,0.008108493434125844,cdk5rap1,,CDK5 regulatory subunit associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-070424-90],558659
ENSDARG00000054805,72.3542542709452,-1.9741155959103476,0.4266333783585357,-4.627194439182706,3.706525014497303e-6,0.008108493434125844,btr09,,"bloodthirsty-related gene family, member 9 [Source:ZFIN;Acc:ZDB-GENE-080722-46]",100170790
ENSDARG00000056838,12.281592497281855,-3.887709460335837,0.915437138551143,-4.246833885818629,2.1681258458868925e-5,0.03585668989296148,pimr93,,"Pim proto-oncogene, serine/threonine kinase, related 93 [Source:ZFIN;Acc:ZDB-GENE-141216-82]",NA
ENSDARG00000058448,272.61514802148133,-0.7578150367745328,0.1689898749038117,-4.484381311045278,7.3125794868000095e-6,0.01378252481427491,zrsr2,,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1495]",100005490
ENSDARG00000076120,1018.6061819326178,-0.8735675912191553,0.1813284611038861,-4.817597777541794,1.4529689481450359e-6,0.003955627240827741,foxp4,,forkhead box P4 [Source:ZFIN;Acc:ZDB-GENE-101207-1],557245
ENSDARG00000086998,186.912146516885,2.3559781895368124,0.31332505675906763,7.519277947018613,5.507957918527823e-14,4.498532830658957e-10,zgc:64002,NNMT,zgc:64002 [Source:ZFIN;Acc:ZDB-GENE-040426-1329],393330
ENSDARG00000089963,1321.6925573703818,-0.6469561194669974,0.1221618016472924,-5.295895367808179,1.1843464264040965e-7,3.6273570174691464e-4,hbbe1.1,,hemoglobin beta embryonic-1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-7],NA
ENSDARG00000095277,44.94437011435494,2.792575476014837,0.6579964218470208,4.244058756696537,2.1951283503159832e-5,0.03585668989296148,,,,NA
ENSDARG00000098213,58.18557270164822,-2.1146030270859533,0.3091912992367133,-6.839141438669778,7.966919832731826e-12,4.88013674353988e-8,,,,NA
ENSDARG00000100798,75.8309769433352,2.643774808890139,0.39958009566783076,6.61638264156155,3.6809484264300077e-11,1.4255255137801977e-7,,,,NA
ENSDARG00000102175,157.37242468883463,-1.2533134523809568,0.2710944737507525,-4.6231611992698465,3.7793579379962437e-6,0.008108493434125844,hamp,,hepcidin antimicrobial peptide [Source:ZFIN;Acc:ZDB-GENE-050726-1],402837
