ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,zfin_id_symbol,hgnc_symbol,description,entrezgene
ENSDARG00000000229,540.1071168537316,0.3523284774923601,0.1239339074745096,2.842873953319241,0.0044708748065501736,0.03682396252617628,usp49,,ubiquitin specific peptidase 49 [Source:ZFIN;Acc:ZDB-GENE-050208-484],559473
ENSDARG00000000241,3113.323245607514,-0.718795766228663,0.16385263127545735,-4.38684298587964,1.1500774856971819e-5,3.803163559951982e-4,slc40a1,,"solute carrier family 40 (iron-regulated transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-000511-8]",58153
ENSDARG00000000324,1830.193165107803,-0.4152917772606061,0.10540901589283062,-3.939812678669094,8.154525651580955e-5,0.0017950504576111988,dcaf8,,DDB1 and CUL4 associated factor 8 [Source:ZFIN;Acc:ZDB-GENE-070912-578],100007924
ENSDARG00000000369,307.9071335480698,-0.8020692527839808,0.1637082794838836,-4.899381114459401,9.613900101259491e-7,5.2265586861217386e-5,prkag3b,,"protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]",678619
ENSDARG00000000380,368.03623323070497,-1.1852192446615841,0.40268844082019,-2.943266119701739,0.0032476911198012714,0.029242438194287148,pde6a,,"phosphodiesterase 6A, cGMP-specific, rod, alpha [Source:ZFIN;Acc:ZDB-GENE-030616-42]",368410
ENSDARG00000000476,165.9357400530998,-0.4854287976911448,0.1672547410762063,-2.9023320628619356,0.003703956936497048,0.03210918468108315,pms1,,"PMS1 homolog 1, mismatch repair system component [Source:ZFIN;Acc:ZDB-GENE-030616-528]",368631
ENSDARG00000000503,5927.07295154565,-0.6077239550683393,0.1930207652274238,-3.148490030864284,0.0016411632106458098,0.018094127621536164,stx1b,,syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4],58038
ENSDARG00000000529,334.8315067974298,-0.7263798008714002,0.21673237665363923,-3.3515057237259493,8.037337748666456e-4,0.010679280661486367,ofd1,,oral-facial-digital syndrome 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5427],327216
ENSDARG00000000760,111.2341653924681,-0.6771302852527561,0.23301887115585948,-2.9059032081562335,0.00366194706563576,0.03184184776788361,znf511,,zinc finger protein 511 [Source:ZFIN;Acc:ZDB-GENE-030616-621],368916
ENSDARG00000000857,799.9862757220075,1.0475233916447257,0.14414915967296085,7.266940674654641,3.677201980039142e-13,1.1298713806167493e-10,mapk14a,,mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2],65237
ENSDARG00000001014,7775.929002828683,0.6700674590631112,0.144372477465076,4.641240981856821,3.4632294715814564e-6,1.4828159596601013e-4,myh9b,,"myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]",561431
ENSDARG00000001210,354.71792323553314,-0.4660981528038766,0.16379411414633008,-2.845634321068917,0.004432306174988414,0.03657250637576834,arl14ep,,ADP-ribosylation factor-like 14 effector protein [Source:ZFIN;Acc:ZDB-GENE-060825-216],751672
ENSDARG00000001220,4940.730163662223,0.3800153412949478,0.13825832493264867,2.7485892186244043,0.00598523435535706,0.04558049557437667,mycbp2,,MYC binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-030616-132],368439
ENSDARG00000001249,152.90628295999,-0.498839913856622,0.15858538926292443,-3.14556035820915,0.0016576898571510137,0.018218118584079422,pcgf1,,polycomb group ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-030616-605],368900
ENSDARG00000001431,6352.58976218338,0.989568569260528,0.2167764209826402,4.564927148325667,4.9966782918359886e-6,1.99173898829347e-4,actn3b,,actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040],323320
ENSDARG00000001442,282.760066343812,-0.802680952581928,0.25144724965776605,-3.1922439146756316,0.0014117206432983787,0.016351568477324625,inppl1b,,inositol polyphosphate phosphatase-like 1b [Source:ZFIN;Acc:ZDB-GENE-030616-75],368433
ENSDARG00000001452,223.94352916622344,0.988763065962834,0.32129522098027635,3.077428487563879,0.002087949303455695,0.02126689799279482,adam8a,,ADAM metallopeptidase domain 8a [Source:ZFIN;Acc:ZDB-GENE-030616-622],368917
ENSDARG00000001558,401.85441622546904,-1.0157612294606195,0.24518938423286044,-4.142761859934091,3.4314821105209864e-5,9.168439460272437e-4,kifc1,,kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21],30453
ENSDARG00000001558,401.85441622546904,-1.0157612294606195,0.24518938423286044,-4.142761859934091,3.4314821105209864e-5,9.168439460272437e-4,kifc1,,kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21],561143
ENSDARG00000001729,2986.570223944281,0.5251041811960768,0.10123167676033276,5.187152855714002,2.1353346002456773e-7,1.4358664851439247e-5,strn3,,"striatin, calmodulin binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-030616-405]",563124
ENSDARG00000001769,1302.8553822666292,0.43851780478282276,0.09814129198761308,4.4682293854269854,7.886970644614035e-6,2.7872074498646774e-4,ptpra,,"protein tyrosine phosphatase, receptor type, A [Source:ZFIN;Acc:ZDB-GENE-020107-1]",140818
ENSDARG00000001804,172.22582613294955,-1.0330161894456578,0.25842565970584225,-3.997343725934597,6.405725286509803e-5,0.001491724847510067,zgc:112148,,zgc:112148 [Source:ZFIN;Acc:ZDB-GENE-050417-235],550424
