ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,zfin_id_symbol,hgnc_symbol,description,entrezgene
ENSDARG00000000380,368.03623323070497,-1.1852192446615841,0.40268844082019,-2.943266119701739,0.0032476911198012714,0.029242438194287148,pde6a,,"phosphodiesterase 6A, cGMP-specific, rod, alpha [Source:ZFIN;Acc:ZDB-GENE-030616-42]",368410
ENSDARG00000000857,799.9862757220075,1.0475233916447257,0.14414915967296085,7.266940674654641,3.677201980039142e-13,1.1298713806167493e-10,mapk14a,,mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2],65237
ENSDARG00000001558,401.85441622546904,-1.0157612294606195,0.24518938423286044,-4.142761859934091,3.4314821105209864e-5,9.168439460272437e-4,kifc1,,kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21],30453
ENSDARG00000001558,401.85441622546904,-1.0157612294606195,0.24518938423286044,-4.142761859934091,3.4314821105209864e-5,9.168439460272437e-4,kifc1,,kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21],561143
ENSDARG00000001804,172.22582613294955,-1.0330161894456578,0.25842565970584225,-3.997343725934597,6.405725286509803e-5,0.001491724847510067,zgc:112148,,zgc:112148 [Source:ZFIN;Acc:ZDB-GENE-050417-235],550424
ENSDARG00000001818,663.7874976167774,1.9988754014076324,0.5440093202736722,3.67434035946676,2.3846468313522162e-4,0.004240799184084009,c3b.2,,"complement component c3b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3063]",566347
ENSDARG00000001994,4997.056830935132,-1.056357245548477,0.19817230583718498,-5.3304988357776,9.794336134572595e-8,7.4388467437738346e-6,stxbp1a,,syntaxin binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-050626-106],574003
ENSDARG00000002037,305.55227393503304,2.6103262659153303,0.20233573431262522,12.900965194225966,4.444946840843297e-38,1.638925982666271e-34,pfkfb2b,,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2b [Source:ZFIN;Acc:ZDB-GENE-120222-1]",564852
ENSDARG00000002197,1017.8409683525292,1.755891956546212,0.46515386737635644,3.7748626415816044,1.6009585445670376e-4,0.0030961656705007137,pygl,,"phosphorylase, glycogen, liver [Source:ZFIN;Acc:ZDB-GENE-041205-1]",NA
ENSDARG00000002230,2384.424803201375,-1.1644604682778226,0.3919450568936408,-2.970978834397734,0.0029685223863100785,0.027476128800503444,sypb,,synaptophysin b [Source:ZFIN;Acc:ZDB-GENE-040718-205],436774
ENSDARG00000002403,419.12630204116874,-1.1846226732448097,0.2440397854686044,-4.8542194502019465,1.2086183880899513e-6,6.194154809250828e-5,nusap1,,nucleolar and spindle associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030827-5],567446
ENSDARG00000002509,43.04129573217774,1.5085626048741947,0.38013585282173096,3.968482829694184,7.233166791420204e-5,0.0016311860237165053,zgc:153911,,zgc:153911 [Source:ZFIN;Acc:ZDB-GENE-061013-174],768172
