ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,zfin_id_symbol,hgnc_symbol,description,entrezgene
ENSDARG00000002037,305.55227393503304,2.6103262659153303,0.20233573431262522,12.900965194225966,4.444946840843297e-38,1.638925982666271e-34,pfkfb2b,,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2b [Source:ZFIN;Acc:ZDB-GENE-120222-1]",564852
ENSDARG00000003193,137.22499201923114,3.9943912051460897,1.265511434703729,3.156345407563404,0.0015975954956144946,0.01777847341523112,rassf7b,,Ras association (RalGDS/AF-6) domain family (N-terminal) member 7b [Source:ZFIN;Acc:ZDB-GENE-030429-1],368288
ENSDARG00000003732,19.284261010381044,2.0815278698781357,0.6736583681736067,3.0898864590986728,0.0020023302414213053,0.020705851036921075,mitfa,,microphthalmia-associated transcription factor a [Source:ZFIN;Acc:ZDB-GENE-990910-11],30080
ENSDARG00000004141,271.0574388476028,2.0877089436540133,0.4451307147752732,4.690103096363514,2.7306742751550027e-6,1.2179578022027041e-4,zgc:92630,,zgc:92630 [Source:ZFIN;Acc:ZDB-GENE-040718-449],436969
ENSDARG00000004871,30.516662908447366,-2.846719854907523,0.7441369683582989,-3.8255320941625888,1.3048993209842862e-4,0.002628790811843177,mst1rb,,macrophage stimulating 1 receptor b [Source:ZFIN;Acc:ZDB-GENE-071218-3],100134855
ENSDARG00000005616,141.7439127883858,7.255104266999666,2.351454142932489,3.085369233674213,0.0020329959879664965,0.02090933065633789,bfb,,complement component bfb [Source:ZFIN;Acc:ZDB-GENE-990415-34],30489
ENSDARG00000006878,525.0092488223459,-2.162245163468925,0.2822741621095437,-7.660088855847212,1.8580448573922965e-14,7.087159720705134e-12,phf21aa,,PHD finger protein 21Aa [Source:ZFIN;Acc:ZDB-GENE-050208-99],497383
ENSDARG00000007024,658.1843668415567,3.6622238941988443,1.186934786148805,3.085446594822198,0.002032467205241146,0.02090933065633789,uox,,urate oxidase [Source:ZFIN;Acc:ZDB-GENE-030826-24],NA
ENSDARG00000007418,115.39730094080676,3.7397293554615834,1.2528717143608323,2.9849260004799865,0.0028364693361635097,0.026593470942811018,chmp4c,,charged multivesicular body protein 4C [Source:ZFIN;Acc:ZDB-GENE-050417-389],550542
ENSDARG00000008275,1510.4487530365516,-2.047480935310341,0.3065417934651956,-6.679288041494445,2.4010583127854193e-11,5.1917822569001284e-9,klhl24b,,kelch-like family member 24b [Source:ZFIN;Acc:ZDB-GENE-040426-1185],393412
ENSDARG00000010478,5876.607135816652,2.9178063803442016,0.4696365743765292,6.212902783855292,5.201463257122636e-10,7.922532688212194e-8,hsp90aa1.1,,"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-94]",30591
ENSDARG00000011975,20.762058860700506,2.4070311276600584,0.835877308489857,2.8796464543447606,0.003981213412220953,0.03392772893627278,fmn1,,formin 1 [Source:ZFIN;Acc:ZDB-GENE-041001-198],561077
ENSDARG00000013393,76.18415545066615,2.7508960155719135,0.7964689601691007,3.4538646866889358,5.526145737158146e-4,0.008028661431215493,guca1b,,guanylate cyclase activator 1B [Source:ZFIN;Acc:ZDB-GENE-011128-6],140431
ENSDARG00000014626,319.6507665099975,5.7553622297906655,1.7015181436929503,3.3824865465726455,7.183279620015198e-4,0.009895124223760663,dlx3b,,distal-less homeobox 3b [Source:ZFIN;Acc:ZDB-GENE-980526-280],30585
